Date,Open,High,Low,Close,Volume,AdjClose
2021-03-30,120.1,120.41,118.86,119.9,67151632.0,116.89
2021-03-31,121.65,123.52,121.15,122.15,84214266.0,119.08
2021-04-01,123.64,124.18,122.49,123.0,58142715.0,119.91
2021-04-05,123.76,126.17,123.07,125.9,69453288.0,122.74
2021-04-06,126.53,127.13,125.65,126.21,62869136.0,123.04
2021-04-07,125.82,127.92,125.14,127.9,67044483.0,124.69
2021-04-08,128.96,130.39,128.52,130.36,70632804.0,127.09
2021-04-09,129.9,133.04,129.47,133.0,84157265.0,129.66
2021-04-12,132.58,132.85,130.63,131.24,68272686.0,127.95
2021-04-13,132.51,134.66,131.93,134.43,70853319.0,131.06
2021-04-14,134.94,135.0,131.65,132.03,67376280.0,128.72
2021-04-15,133.85,135.0,133.64,134.5,66090815.0,131.12
2021-04-16,134.3,134.67,133.28,134.16,60207231.0,130.79
2021-04-19,133.47,135.47,133.34,134.84,65598794.0,131.46
2021-04-20,135.02,135.53,131.81,133.11,76477003.0,129.77
2021-04-21,132.39,133.75,131.3,133.5,54497737.0,130.15
2021-04-22,133.04,134.15,131.41,131.94,67239840.0,128.63
2021-04-23,132.16,135.12,132.16,134.32,61963311.0,130.95
2021-04-26,134.83,135.06,133.56,134.72,49672028.0,131.34
2021-04-27,135.04,135.41,134.11,134.39,52646211.0,131.02
2021-04-28,134.31,135.01,133.08,133.58,71388679.0,130.23
2021-04-29,136.46,137.07,132.45,133.48,120441443.0,130.13
2021-04-30,131.8,133.56,131.06,131.46,75106273.0,128.16
2021-05-03,132.01,134.07,131.83,132.54,59847366.0,129.21
2021-05-04,131.18,131.49,126.7,127.85,105301941.0,124.64
2021-05-05,129.21,130.45,127.97,128.1,67148598.0,124.89
2021-05-06,127.9,129.75,127.13,129.74,61573253.0,126.48
2021-05-07,130.88,131.26,129.47,130.21,56576013.0,127.16
2021-05-10,129.4,129.54,126.81,126.85,65338185.0,123.88
2021-05-11,123.49,126.27,122.77,125.91,89253905.0,122.96
